Timestamp,Manufacturer,Controller-Dongle,Console Compatibility,Notes,Link,"Name, Discord Username, or Gamer Tag"
8/23/2023 23:49:56,Brook,Wingman FGC,PS4/PS5 (Non-Native),,https://www.brookaccessory.com/products/wingmanfgc/index.html,TheTrain
9/4/2023 6:50:19,HORI,Horipad FPS Plus,PS4/PS5 (Non-Native),,https://hori.jp/products/p4/fps_plus_bk/,
9/4/2023 6:52:57,HORI,Fighting Commander OCTA,PS4/PS5 (Non-Native),PS4 Mode,https://hori.jp/products/p5/spf023/,
9/13/2023 12:02:26,HORI,Fighting Stick MINI 4,PS4/PS5 (Non-Native),,https://stores.horiusa.com/fighting-stick-mini-4-for-playstation-4/,Taichi
2/5/2024 6:28:53,HORI,RAP 4,PS4/PS5 (Non-Native),,No longer available,Iz-GOod
8/23/2023 23:46:10,Mayflash,Magic Boots,PS4/PS5 (Non-Native),V1.1 only - DO NOT UPDATE (Brick),https://www.mayflash.com/product/MAGPS4.html,TheTrain
8/23/2023 23:48:01,Mayflash,Magic S Ultimate,PS4/PS5 (Non-Native),"V1.06 only, V1.05 only allows PS4",https://www.mayflash.com/product/magic_s_ultimate.html,_pettman
9/4/2023 6:47:02,Mayflash,MAGIC-S PRO (v1),PS4/PS5 (Non-Native),,https://www.mayflash.com/product/magic_s_pro_usb_wireless_controller_adapter.html,zangisaw
9/3/2023 9:23:14,Mayflash ,MAGIC-S PRO (v2),PS4,,https://www.mayflash.com/product/magic_s_pro_usb_wireless_controller_adapter.html,TheTrain
9/9/2023 8:52:36,PXN,PXN N5 Racing Wheel Converter,PS4/PS5 (Non-Native),,https://pxn-game.com/products/n5-for-pxn-game-steering-wheel,SGF | Matt
8/23/2023 23:48:55,Razer,Raion Wired Fightpad,PS4/PS5 (Non-Native),,https://www.razer.com/eu-en/console-controllers/razer-raion,jfedor
8/24/2023 14:52:32,Razer,Panthera EVO,PS4/PS5 (Non-Native),,https://mysupport.razer.com/app/answers/detail/a_id/3576/~/razer-panthera-evo,pfanne
